dataset,matrix,row_segment,col_segment,row_index,col_index,value,abs_value,is_offdiag
ETTm1,covariance,1-96,193-336,0,2,0.5455497265385177,0.5455497265385177,True
ETTm1,covariance,1-96,337-720,0,3,0.5013872762087992,0.5013872762087992,True
ETTm1,covariance,97-192,1-96,1,0,0.5812054298483488,0.5812054298483488,True
ETTm1,covariance,97-192,97-192,1,1,0.6524471818211067,0.6524471818211067,False
ETTm1,covariance,97-192,193-336,1,2,0.5728538970021593,0.5728538970021593,True
ETTm1,covariance,97-192,337-720,1,3,0.5129427362371951,0.5129427362371951,True
ETTm1,covariance,193-336,1-96,2,0,0.5455497265385177,0.5455497265385177,True
ETTm1,covariance,193-336,97-192,2,1,0.5728538970021593,0.5728538970021593,True
ETTm1,covariance,193-336,193-336,2,2,0.6354381591127574,0.6354381591127574,False
ETTm1,covariance,193-336,337-720,2,3,0.5354272757137802,0.5354272757137802,True
ETTm1,covariance,337-720,1-96,3,0,0.5013872762087992,0.5013872762087992,True
ETTm1,covariance,337-720,97-192,3,1,0.5129427362371951,0.5129427362371951,True
ETTm1,covariance,337-720,193-336,3,2,0.5354272757137802,0.5354272757137802,True
ETTm1,covariance,337-720,337-720,3,3,0.5813960639446769,0.5813960639446769,False
Weather,correlation,1-96,1-96,0,0,0.9999999999999031,0.9999999999999031,False
Weather,correlation,1-96,97-192,0,1,0.769562171147363,0.769562171147363,True
Weather,correlation,1-96,193-336,0,2,0.7148677999882365,0.7148677999882365,True
Weather,correlation,1-96,337-720,0,3,0.6500979085281599,0.6500979085281599,True
Weather,correlation,97-192,1-96,1,0,0.769562171147363,0.769562171147363,True
Weather,correlation,97-192,97-192,1,1,0.9999999999998366,0.9999999999998366,False
Weather,correlation,97-192,193-336,1,2,0.806631224077591,0.806631224077591,True
Weather,correlation,97-192,337-720,1,3,0.6770367485080606,0.6770367485080606,True
Weather,correlation,193-336,1-96,2,0,0.7148677999882365,0.7148677999882365,True
Weather,correlation,193-336,97-192,2,1,0.806631224077591,0.806631224077591,True
Weather,correlation,193-336,193-336,2,2,1.0000000000001328,1.0000000000001328,False
Weather,correlation,193-336,337-720,2,3,0.7867901974692079,0.7867901974692079,True
Weather,correlation,337-720,1-96,3,0,0.6500979085281599,0.6500979085281599,True
Weather,correlation,337-720,97-192,3,1,0.6770367485080606,0.6770367485080606,True
Weather,correlation,337-720,193-336,3,2,0.7867901974692079,0.7867901974692079,True
Weather,correlation,337-720,337-720,3,3,1.0000000000003242,1.0000000000003242,False
Weather,covariance,1-96,1-96,0,0,0.5851794431782339,0.5851794431782339,False
Weather,covariance,1-96,97-192,0,1,0.4502022033579847,0.4502022033579847,True
Weather,covariance,1-96,193-336,0,2,0.3976430416771095,0.3976430416771095,True
Weather,covariance,1-96,337-720,0,3,0.33674084428089707,0.33674084428089707,True
Weather,covariance,97-192,1-96,1,0,0.4502022033579847,0.4502022033579847,True
Weather,covariance,97-192,97-192,1,1,0.5848422624911677,0.5848422624911677,False
Weather,covariance,97-192,193-336,1,2,0.4485568822884652,0.4485568822884652,True
Weather,covariance,97-192,337-720,1,3,0.35059370449476585,0.35059370449476585,True
Weather,covariance,193-336,1-96,2,0,0.3976430416771095,0.3976430416771095,True
Weather,covariance,193-336,97-192,2,1,0.4485568822884652,0.4485568822884652,True
Weather,covariance,193-336,193-336,2,2,0.5287449616992697,0.5287449616992697,False
Weather,covariance,193-336,337-720,2,3,0.38739548820974884,0.38739548820974884,True
Weather,covariance,337-720,1-96,3,0,0.33674084428089707,0.33674084428089707,True
Weather,covariance,337-720,97-192,3,1,0.35059370449476585,0.35059370449476585,True
Weather,covariance,337-720,193-336,3,2,0.38739548820974884,0.38739548820974884,True
Weather,covariance,337-720,337-720,3,3,0.4585059689679335,0.4585059689679335,False
