dataset,probe_row,future_step,target,mean_pairwise_scope_disagreement,split,scope_1_forecast,scope_48_forecast,scope_144_forecast,scope_360_forecast,scope_720_forecast
ETTh1,107,108,0.4059274197,0.336374620191,validation,0.5635359287,0.6448646784,0.8096889257,1.0459258556,0.7773541212
ETTh1,107,109,0.3608088493,0.336374620191,validation,1.0317749977,0.9311263561,1.0427639484,0.8129911423,0.5309153795
ETTh1,107,110,0.2901412547,0.336374620191,validation,0.1997681260,0.1522381306,0.5304789543,0.4775768518,0.5527390242
ETTh1,107,111,0.6248157620,0.336374620191,validation,0.3686376214,0.1969714761,0.0342813730,0.6928642988,0.5055054426
ETTh1,107,112,0.4639110267,0.336374620191,validation,0.2858807445,0.2479251623,0.2129768133,0.1646738052,0.2057796717
ETTh1,107,113,0.3867203295,0.336374620191,validation,-0.3123077154,-0.3246902227,-0.4560764134,-0.1953438818,-0.2496977150
ETTh1,107,114,-0.0255074725,0.336374620191,validation,-0.2206283212,-0.3118293583,-0.4154096842,-0.6111353040,-0.8226847053
ETTh1,107,115,0.1613086611,0.336374620191,validation,-1.4863061905,-1.4566605091,-1.7292393446,-1.1201043129,-0.9203246832
ETTh1,107,116,0.2192923725,0.336374620191,validation,-1.2782022953,-1.4982655048,-1.4624855518,-1.6763693094,-1.8347123861
ETTh1,107,117,0.1999040991,0.336374620191,validation,-1.8094431162,-1.6607992649,-2.1388044357,-2.2202954292,-1.8662049770
ETTh1,107,118,-0.1412936300,0.336374620191,validation,-1.6882020235,-1.9169455767,-2.4129171371,-1.9519745111,-1.7258117199
ETTh1,107,119,-0.7144261599,0.336374620191,validation,-2.0740394592,-2.0002520084,-2.1383385658,-2.0475358963,-1.7914824486
ETTh1,107,120,-0.8561238050,0.336374620191,validation,-1.5759413242,-1.6626546383,-1.7542690039,-1.9269824028,-1.7078425884
ETTh1,107,121,-0.7207681537,0.336374620191,validation,-1.6823588610,-1.4924888611,-1.8817387819,-1.5304384232,-1.2212586403
ETTh1,107,122,-0.2058005184,0.336374620191,validation,-0.6918140054,-0.9089806676,-0.8610854149,-1.3279733658,-1.2720360756
ETTh1,107,123,0.1098481491,0.336374620191,validation,-0.2188819945,-0.5307933092,-0.2270639539,-0.5534390807,-0.7511647940
ETTh1,107,124,-0.4053006470,0.336374620191,validation,-0.1631493866,0.0468347669,-0.1205954552,0.3615974784,-0.1860572398
ETTh1,107,125,-0.2895144522,0.336374620191,validation,0.3474872112,0.6094182730,1.2083429098,0.2743157148,0.3016421199
ETTh1,107,126,-0.1929354221,0.336374620191,validation,0.1245327592,0.0904563665,0.1982503533,0.1891162395,0.3539624810
ETTh1,107,127,-0.2766493559,0.336374620191,validation,-0.1432901919,0.0832086802,-0.3911521435,0.3815713525,0.4692873955
ETTh1,107,128,-0.2895144522,0.336374620191,validation,0.2671043277,0.2014254332,0.2427725196,0.2717907429,0.1574221849
ETTh1,107,129,-0.2186656743,0.336374620191,validation,0.2159263492,0.3201183677,0.0302908421,0.3052229285,0.2987278104
ETTh1,107,130,0.0132690733,0.336374620191,validation,0.5623970032,0.5059423447,0.4420942068,0.6138138771,0.7110760212
ETTh1,107,131,0.0710716024,0.336374620191,validation,0.5362262726,0.8364487886,0.8066633940,0.3816666007,0.6068743467
ETTh1,107,132,-0.0833100006,0.336374620191,validation,0.3664535284,0.5136718750,0.6943031549,0.4576934576,0.4309484959
ETTh1,107,133,-0.0447145589,0.336374620191,validation,0.1446247697,0.1726608872,-0.0744926333,0.3920018673,0.2549083233
ETTh1,107,134,-0.1541587859,0.336374620191,validation,0.4532401562,0.4177178144,0.2826817036,0.4393202066,0.4646689892
ETTh1,107,135,0.0389993712,0.336374620191,validation,0.3964129090,0.4082912207,0.6388242245,0.6222918034,0.6289744377
ETTh1,107,136,0.1547855288,0.336374620191,validation,0.1677699089,0.3472474217,0.4184179306,0.5576399565,0.1586334705
ETTh1,107,137,0.0904598758,0.336374620191,validation,-0.4245856404,-0.5416718125,-0.3440980911,-0.3191089928,-0.5327777267
ETTh1,107,138,0.1161901727,0.336374620191,validation,-0.7109472156,-0.6260410547,-0.8955608606,-0.4257092476,-0.3832724988
ETTh1,107,139,0.0453413092,0.336374620191,validation,-1.4734793901,-1.1826071739,-1.8282669783,-1.7530791759,-1.2841638327
ETTh1,107,140,-0.0963563398,0.336374620191,validation,-1.6091946363,-1.6126703024,-1.5769593716,-1.3615937233,-1.6053811312
ETTh1,107,141,-0.4053006470,0.336374620191,validation,-1.8546489477,-2.0212697983,-2.2564907074,-2.2155680656,-2.3248033524
ETTh1,107,142,-0.2636030018,0.336374620191,validation,-2.1699757576,-2.2567944527,-2.4209196568,-2.0653982162,-2.1021652222
ETTh1,107,143,-0.9461797476,0.336374620191,validation,-1.8576338291,-2.0882971287,-2.8355190754,-2.1370153427,-1.8454147577
ETTh1,107,144,-0.8303935528,0.336374620191,validation,-2.0963711739,-2.0463080406,-2.3351387978,-1.6821898222,-1.7415100336
ETTh1,107,145,-2.4528496265,0.336374620191,validation,-1.4276431799,-1.6550456285,-1.8427664042,-1.2645728588,-1.1020882130
ETTh1,107,146,-1.8347797394,0.336374620191,validation,-0.4641312957,-0.8078804016,-0.8035630584,-0.1798879504,-0.5630849600
ETTh1,107,147,-0.6178470850,0.336374620191,validation,-0.5720713735,-0.3282448649,-0.1302410364,-0.5467514992,-0.4006499648
ETTh1,107,148,-0.2121424973,0.336374620191,validation,-0.1429235637,-0.1088434458,-0.0941316187,0.1678696871,-0.1429764032
ETTh1,107,149,-0.1864122003,0.336374620191,validation,-0.1149555147,0.0779362917,0.1908583045,0.1593930125,0.0522918701
ETTh1,107,150,-0.2058005184,0.336374620191,validation,0.2463714480,0.3016678095,0.0716960430,0.3427785635,0.4847632647
ETTh1,107,151,-0.2186656743,0.336374620191,validation,0.3872996569,0.0265368819,0.3391988277,0.0018079281,0.2542759776
ETTh1,107,152,-0.1992773563,0.336374620191,validation,0.0686082244,0.3125434518,0.2064319253,0.1862872243,0.3565467000
ETTh1,107,153,-0.1670239270,0.336374620191,validation,0.2417792678,0.3491449952,0.3965181112,-0.1640638113,-0.1152575016
ETTh1,107,154,0.6248157620,0.336374620191,validation,0.3155510426,0.5180200338,0.4494415522,0.2259726524,0.3305574059
ETTh1,107,155,0.5153715611,0.336374620191,validation,0.3700292706,0.3153330684,0.5085912943,0.2982991934,0.0354894996
ETTh1,107,156,0.5411018729,0.336374620191,validation,0.1577978730,0.2881488800,0.3931992054,0.3245438337,0.6431976557
ETTh1,107,157,0.4124505222,0.336374620191,validation,0.3071154952,0.5954028368,0.7340254784,0.5717931986,0.4883068800
ETTh1,107,158,0.0004039248,0.336374620191,validation,0.5298532248,0.0646380782,0.2431644201,0.7401574850,0.5427080393
ETTh1,107,159,0.2836180329,0.336374620191,validation,0.7563366890,0.9862697124,0.6390773058,0.8504871130,0.2539480925
ETTh1,107,160,0.3222133815,0.336374620191,validation,0.5210868120,-0.2631601989,0.5494797230,0.2248405218,-0.2087523937
ETTh1,107,161,-0.0061191991,0.336374620191,validation,0.0217146873,-0.0667824745,-0.1362730563,-0.5046133995,-0.6082079411
ETTh1,107,162,-0.4567611516,0.336374620191,validation,-0.8084646463,-0.8497990370,-0.7553331852,-0.1032762825,-0.2710765600
ETTh1,107,163,-1.2167098522,0.336374620191,validation,-1.3438897133,-1.3777339458,-0.7214266658,-1.1283457279,-1.2787014246
ETTh1,107,164,-0.8947191834,0.336374620191,validation,-1.6226838827,-1.6119513512,-1.1874849796,-1.7436164618,-1.6732707024
ETTh1,107,165,-2.0922634602,0.336374620191,validation,-1.7368350029,-2.2086403370,-2.0272359848,-1.5446946621,-1.6007757187
ETTh1,107,166,-1.3647494316,0.336374620191,validation,-2.2810373306,-2.4306230545,-2.6437554359,-1.4864242077,-1.2259150743
ETTh1,107,167,-1.4741936922,0.336374620191,validation,-2.2220649719,-2.3332946301,-1.8701846600,-2.6363101006,-2.4938983917
ETTh1,107,168,-0.6758307815,0.336374620191,validation,-1.7837862968,-1.7973561287,-1.7782866955,-2.2333211899,-2.1208271980
ETTh1,107,169,-1.7059472799,0.336374620191,validation,-1.1080389023,-1.2629563808,-1.5282843113,-1.3210579157,-1.2743065357
ETTh1,107,170,-0.6629656553,0.336374620191,validation,-0.7501471043,-0.7699412704,-0.9820762873,-0.5372586846,-0.7651592493
ETTh1,107,171,-0.4375540912,0.336374620191,validation,-0.5210412145,-0.2146020830,-0.4983012080,-0.2806384563,-0.6430341005
ETTh1,107,172,-0.6241890788,0.336374620191,validation,-0.2176320851,-0.2744302452,-0.0789200068,0.1156266332,-0.4164265394
ETTh1,107,173,-0.1478168517,0.336374620191,validation,0.0402566791,0.1321724653,-0.1255820990,0.2187953591,-0.0738785863
ETTh1,107,174,-0.0447145589,0.336374620191,validation,0.0307714939,-0.0706390142,0.4086799622,0.3036621809,0.1904450655
ETTh1,107,175,-0.0704448521,0.336374620191,validation,0.1873210073,0.1516925097,-0.0198945999,0.0361734629,0.1487565637
ETTh1,107,176,-0.1670239270,0.336374620191,validation,-0.0676143169,-0.0215346217,0.2962038517,0.3367791772,0.4208428860
ETTh1,107,177,0.0582064576,0.336374620191,validation,0.2743586302,0.3184757233,0.4258170128,0.9186285734,0.8600955009
ETTh1,107,178,0.2964831889,0.336374620191,validation,0.0806168914,0.2560108304,0.3822373748,-0.0220054984,-0.1814888418
ETTh1,107,179,0.7987668514,0.336374620191,validation,0.3706072569,0.7371274233,0.8172811270,0.1927745342,0.4118929505
ETTh1,107,180,0.6442041397,0.336374620191,validation,0.5199223757,0.3623207808,1.0225272179,0.5257990360,0.2673879266
ETTh1,107,181,0.6827993989,0.336374620191,validation,0.5612447262,0.5222388506,0.3508115411,0.8725237846,0.6641770601
ETTh1,107,182,0.4832994044,0.336374620191,validation,0.5819761753,0.4255226851,0.1639185548,0.9041789770,0.8458596468
ETTh1,107,183,0.7987668514,0.336374620191,validation,0.2046446800,0.3896700144,0.4612786770,0.4131326675,0.2502727509
ETTh1,107,184,0.6376809478,0.336374620191,validation,0.0912341475,0.3450447917,0.5445289612,-0.2277838886,-0.2313813269
ETTh1,107,185,-0.4438960254,0.336374620191,validation,-0.0341914892,0.2377659082,0.0462470651,0.1096176505,-0.3406789899
ETTh1,107,186,-1.1201307774,0.336374620191,validation,-0.8561479449,-0.1358374357,-0.2869048715,-0.9683870077,-0.9526218176
ETTh1,107,187,-1.8605099916,0.336374620191,validation,-1.2980043888,-1.4362607002,-1.0862665176,-0.5906575918,-0.9120879173
ETTh1,107,188,-2.4851031303,0.336374620191,validation,-1.7100057602,-1.7935024500,-1.4868681431,-1.8576065302,-1.5880479813
ETTh1,107,189,-3.0065937042,0.336374620191,validation,-2.2640719414,-2.0368807316,-1.3512792587,-1.6202930212,-1.5755672455
ETTh1,107,190,-2.2468264103,0.336374620191,validation,-1.8645949364,-2.3774294853,-1.6146658659,-2.3089852333,-2.1529035568
ETTh1,107,191,-2.2339611053,0.336374620191,validation,-2.0021667480,-2.4402270317,-1.8671402931,-2.3399832249,-2.2543919086
ETTh1,107,192,-3.0582356453,0.336374620191,validation,-1.6987973452,-1.6143922806,-1.4478449821,-1.6819075346,-1.5919826031
ETTh1,107,193,-2.6074123383,0.336374620191,validation,-0.8252828121,-1.4467465878,-1.2854316235,-1.5685433149,-1.7736378908
ETTh1,107,194,-0.2701261640,0.336374620191,validation,-0.9838811755,-1.0779702663,-1.3644655943,-1.1681370735,-1.2528817654
ETTh1,107,195,-0.2315307707,0.336374620191,validation,-0.8041946888,-0.2142162323,-0.3655962348,-0.4623009861,-0.3738611937
ETTh1,107,196,-0.1606819928,0.336374620191,validation,-0.1657296717,0.1687713861,0.2400605679,-0.4424294233,-0.4584446549
ETTh1,107,197,-0.0189843476,0.336374620191,validation,-0.1908946633,-0.0492417812,0.1321657896,0.0617675781,0.1517272592
ETTh1,107,198,0.1870389581,0.336374620191,validation,-0.1952009797,-0.0266122222,-0.0542975068,-0.3837326467,-0.2292441726
ETTh1,107,199,0.0839367509,0.336374620191,validation,0.2681648731,0.1334348321,0.2153054476,0.3508879542,0.0786219835
ETTh1,107,200,0.1999040991,0.336374620191,validation,0.4236216545,0.3990420699,0.4785178900,0.3619942069,0.2816412449
ETTh1,107,201,0.4316576123,0.336374620191,validation,0.3125351071,0.4923506975,0.6356687546,0.1934688091,0.1470047235
ETTh1,107,202,0.7342600226,0.336374620191,validation,-0.0282272696,0.2827750444,0.5062320232,0.2211230993,0.1306477785
ETTh1,107,203,0.7021877766,0.336374620191,validation,0.2773128748,0.3917137384,0.3787140250,0.5895776749,0.4367593527
ETTh1,107,204,0.6119506359,0.336374620191,validation,0.2295036316,0.3673263192,0.1619025469,0.3023865819,0.0107926130
ETTh1,107,205,0.6635923386,0.336374620191,validation,0.2923635840,0.6073026657,0.4122467637,0.1625939012,0.0693351030
ETTh1,107,206,0.5090296268,0.336374620191,validation,0.5666779280,0.2505144477,0.4445284605,0.3831256032,0.3749552369
ETTh1,107,207,0.4124505222,0.336374620191,validation,0.4508752823,0.0893779993,0.7508223057,0.2763853073,0.3037758470
ETTh1,107,208,0.5476250648,0.336374620191,validation,0.4851843119,0.3783866167,0.1013325453,0.5708245039,-0.0074205399
ETTh1,107,209,-0.6307122111,0.336374620191,validation,-0.7370162010,-0.3530340791,-0.2017117739,-0.2636923194,-0.1238833070
ETTh1,107,210,-0.7852749825,0.336374620191,validation,-0.9272278547,-0.6012856364,-0.7979053259,-0.3717930019,-0.6105481386
ETTh1,107,211,-1.6287564039,0.336374620191,validation,-1.1237959862,-1.1246550083,-1.1063879728,-1.2492662668,-1.0631842613
ETTh1,107,212,-3.0774426460,0.336374620191,validation,-2.2001545429,-1.8589266539,-1.6742508411,-1.9835412502,-1.3810913563
