dataset,arm,source,status,protocol_pass,checkpoint_sha256,run_dir
Weather,iscf_v1_cpsi_self,new_training,ok,True,6e947047a323a30591c79e28c6e03819f171a563d2bbef322a1dba14ea6497ca,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_self/Weather/h720_full/seed2021
ETTm1,iscf_v1_cpsi_self,new_training,ok,True,ac61b8cf5f89ee348829b0b5cad0d9d153920ab2583872dd7faa9b6e27bb1249,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_self/ETTm1/h720_full/seed2021
ETTh1,iscf_v1_cpsi_self,new_training,ok,True,74c2dea6d758d860ad9319f537e2defe1d305a10207fe9fd0091b5858a96f725,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_self/ETTh1/h720_full/seed2021
ETTh2,iscf_v1_cpsi_self,new_training,ok,True,424cc94f2adf83a97f4d03894da336a29a5a8f7fd85143ad3352c304a1d15320,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_self/ETTh2/h720_full/seed2021
ETTm2,iscf_v1_cpsi_self,new_training,ok,True,413e32c0d10ff54e39aea24fbaff5cf8f22b6340f006e02eefe23b56f40101a8,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_self/ETTm2/h720_full/seed2021
Weather,iscf_v1_cpsi_linear,new_training,ok,True,68688bdca31c3a67146514ded4748162620993ca73b1ac692a72651a748b8613,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_linear/Weather/h720_full/seed2021
ETTm1,iscf_v1_cpsi_linear,new_training,ok,True,635093ac0928aca3cf64ff2b8d45ff99fcc84dd269d9b8f538cf5976ffdbd1a9,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_linear/ETTm1/h720_full/seed2021
ETTh1,iscf_v1_cpsi_linear,new_training,ok,True,07effc1d07a75d4433896246e8b3ce3d5d03b4abbe3339dc4081326d93e25c1d,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_linear/ETTh1/h720_full/seed2021
ETTh2,iscf_v1_cpsi_linear,new_training,ok,True,8a4050c2e445e9164c4bae41d0f5480c34a1aaf0eefe0c0441f54167b705eb2d,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_linear/ETTh2/h720_full/seed2021
ETTm2,iscf_v1_cpsi_linear,new_training,ok,True,82ee23ab65adb2f52f313e89e2cf5dc32c1fbdbcd30af0f72305a92a3f123d6a,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_linear/ETTm2/h720_full/seed2021
Weather,iscf_v1_cpsi_common,new_training,ok,True,c2e1f0faec5549f831a604ebd98a557ace9a5d1dd5049d993848e964a7590c0c,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_common/Weather/h720_full/seed2021
ETTm1,iscf_v1_cpsi_common,new_training,ok,True,9782a396af55fcf028386bdb7646d64083632cbecf9d6141b204d76749f4f7a9,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_common/ETTm1/h720_full/seed2021
ETTh1,iscf_v1_cpsi_common,new_training,ok,True,134003b44e1b84464e640e62405e289c6118c683ee15726994eced146953f750,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_common/ETTh1/h720_full/seed2021
ETTh2,iscf_v1_cpsi_common,new_training,ok,True,aa93d00665d22b90470fe563747141561857fc59ed20286392bc9c8abf603576,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_common/ETTh2/h720_full/seed2021
ETTm2,iscf_v1_cpsi_common,new_training,ok,True,689da88dd9dc93320e6a72bdea39ab8a5f35b33160060bddd897f925e1a38616,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_common/ETTm2/h720_full/seed2021
Weather,iscf_v1_cpsi_post,new_training,ok,True,b1500ea9579acc3690eacc11924581833e096cc9d5c451ce4d5868725cb23a83,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_post/Weather/h720_full/seed2021
ETTm1,iscf_v1_cpsi_post,new_training,ok,True,cdb5b4f4f8faba41e9718b25ccb6486037a708282ce87b26e835f13e71602d79,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_post/ETTm1/h720_full/seed2021
ETTh1,iscf_v1_cpsi_post,new_training,ok,True,5b2d6d570226660ec00773751a5662949451511ec7e0ad06dc14ebce7b141d29,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_post/ETTh1/h720_full/seed2021
ETTh2,iscf_v1_cpsi_post,new_training,ok,True,d8bfebbddb89f13db1106ae906fdc0b7c571c931c7e382256565e31959ad768f,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_post/ETTh2/h720_full/seed2021
ETTm2,iscf_v1_cpsi_post,new_training,ok,True,48f7cb0b1784b676370d7536ae49d1fc530cbfb67c1c24f3c9147ec94fb4cc14,/home/yingch/exp_outputs/r-2026-fatst/stage_c_iscf_v1_cpsi_v1/iscf_v1_cpsi_post/ETTm2/h720_full/seed2021
